respondent_id,origin_country,destination_country,migration_reason,migration_type,age_group,gender,education_level,year_of_migration,marital_status,monthly_income_usd,sends_remittance
53,Nepal,Saudi Arabia,Family Reunification,Permanent,45-54,Male,Primary,2020,Married,932,Yes
54,Pakistan,United States,Marriage/Spouse,Permanent,35-44,Male,PhD,2013,Single,2283,Yes
55,Sri Lanka,Qatar,Employment,Work,25-34,Male,Vocational/Technical,2010,Single,1491,No
56,India,Germany,Family Reunification,Permanent,55+,Female,Master's,2006,Single,578,Yes
57,Nepal,Australia,Higher Education,Permanent,25-34,Male,Vocational/Technical,2025,Married,2093,Yes
58,Bangladesh,Germany,Family Reunification,Permanent,25-34,Female,Bachelor's,2012,Married,449,Yes
59,Bangladesh,France,Skilled Worker Visa,Work,18-24,Male,Master's,2018,Married,680,No
60,Nepal,New Zealand,Marriage/Spouse,Permanent,25-34,Female,Primary,2003,Divorced,1945,No
61,Sri Lanka,Norway,Employment,Work,25-34,Male,Primary,2015,Single,4149,Yes
62,Pakistan,New Zealand,Better Quality of Life,Permanent,55+,Male,Master's,2013,Married,323,Yes
63,Bangladesh,Japan,Higher Education,Permanent,25-34,Male,Secondary,2007,Married,502,No
64,Sri Lanka,UAE,Permanent Residency,Permanent,25-34,Male,Vocational/Technical,2013,Married,1194,Yes
65,Nepal,United States,Marriage/Spouse,Permanent,35-44,Male,Bachelor's,2016,Single,7284,Yes
66,Pakistan,Oman,Employment,Work,25-34,Male,Bachelor's,2011,Single,3803,Yes
67,Pakistan,Malaysia,Better Quality of Life,Permanent,35-44,Female,PhD,2017,Single,297,Yes
68,Pakistan,Oman,Employment,Work,35-44,Male,Bachelor's,2011,Divorced,1159,Yes
69,India,Norway,Business/Investment,Work,25-34,Female,Bachelor's,2005,Single,207,Yes
70,India,Australia,Refugee/Asylum,Permanent,35-44,Male,Bachelor's,2012,Divorced,535,Yes
71,India,New Zealand,Marriage/Spouse,Permanent,25-34,Female,Master's,2020,Married,289,No
72,Pakistan,Norway,Skilled Worker Visa,Work,25-34,Female,Vocational/Technical,2005,Divorced,502,No
73,Bangladesh,Australia,Business/Investment,Work,55+,Male,Bachelor's,2021,Divorced,1897,No
74,India,New Zealand,Family Reunification,Permanent,18-24,Female,Primary,2018,Single,858,No
75,Sri Lanka,Saudi Arabia,Employment,Work,25-34,Male,Bachelor's,2022,Married,9963,Yes
76,Sri Lanka,Japan,Marriage/Spouse,Permanent,45-54,Male,Secondary,2018,Single,9837,No
77,India,Italy,Employment,Work,25-34,Male,Master's,2020,Married,6481,Yes
78,Sri Lanka,Oman,Economic Hardship,Permanent,25-34,Male,Bachelor's,2002,Divorced,907,Yes
79,Sri Lanka,South Korea,Skilled Worker Visa,Work,35-44,Female,Master's,2022,Divorced,1175,No
80,Nepal,New Zealand,Skilled Worker Visa,Work,55+,Male,Bachelor's,2023,Married,584,Yes
81,Sri Lanka,Malaysia,Marriage/Spouse,Permanent,35-44,Female,Bachelor's,2023,Single,841,Yes
82,India,Japan,Family Reunification,Permanent,35-44,Male,Vocational/Technical,2007,Married,1068,No
83,Pakistan,Japan,Higher Education,Permanent,18-24,Male,Vocational/Technical,2022,Divorced,1071,No
84,India,Norway,Employment,Work,18-24,Male,Secondary,2016,Single,10173,Yes
85,Sri Lanka,Japan,Employment,Work,25-34,Female,Bachelor's,2014,Single,1017,Yes
86,Nepal,New Zealand,Employment,Work,55+,Male,Primary,2008,Divorced,357,Yes
87,Pakistan,Japan,Employment,Work,45-54,Female,Secondary,2016,Divorced,2458,Yes
88,Nepal,Japan,Refugee/Asylum,Permanent,25-34,Male,Bachelor's,2015,Married,306,No
89,Bangladesh,Oman,Marriage/Spouse,Permanent,25-34,Male,Vocational/Technical,2019,Married,925,Yes
90,Nepal,France,Skilled Worker Visa,Work,55+,Female,Vocational/Technical,2025,Divorced,1198,Yes
91,Bangladesh,South Korea,Permanent Residency,Permanent,45-54,Female,Primary,2015,Single,8426,No
92,Pakistan,Italy,Family Reunification,Permanent,55+,Male,Vocational/Technical,2011,Single,311,Yes
93,Nepal,France,Skilled Worker Visa,Work,35-44,Male,Master's,2012,Single,9691,No
94,Pakistan,South Korea,Family Reunification,Permanent,45-54,Male,Master's,2022,Married,3780,Yes
95,Pakistan,Japan,Higher Education,Permanent,55+,Male,Bachelor's,2019,Divorced,670,No
96,Sri Lanka,Canada,Higher Education,Permanent,45-54,Female,Master's,2016,Married,579,Yes
97,Bangladesh,Saudi Arabia,Employment,Work,25-34,Female,Bachelor's,2025,Single,1190,Yes
98,Bangladesh,United Kingdom,Refugee/Asylum,Permanent,45-54,Male,Primary,2011,Divorced,378,Yes
99,Pakistan,South Korea,Skilled Worker Visa,Work,25-34,Male,Secondary,2009,Married,666,Yes
100,Nepal,UAE,Employment,Work,55+,Female,Master's,2016,Single,755,No
101,Pakistan,Qatar,Employment,Work,35-44,Male,Bachelor's,2017,Married,352,No
102,Pakistan,Qatar,Economic Hardship,Permanent,18-24,Male,Vocational/Technical,2010,Divorced,8087,No
103,Bangladesh,Kuwait,Marriage/Spouse,Permanent,35-44,Male,Bachelor's,2020,Divorced,663,Yes
104,Bangladesh,New Zealand,Family Reunification,Permanent,45-54,Male,Primary,2020,Single,1076,Yes
105,Sri Lanka,South Korea,Economic Hardship,Permanent,45-54,Male,Vocational/Technical,2012,Single,6279,Yes
106,Pakistan,United States,Better Quality of Life,Permanent,25-34,Male,Secondary,2024,Divorced,1434,Yes
107,Sri Lanka,Germany,Family Reunification,Permanent,25-34,Male,Primary,2015,Married,1222,No
108,Sri Lanka,Oman,Better Quality of Life,Permanent,25-34,Male,Vocational/Technical,2021,Married,481,Yes
109,India,Kuwait,Employment,Work,25-34,Male,Bachelor's,2023,Single,340,Yes
110,Sri Lanka,Italy,Employment,Work,25-34,Female,Bachelor's,2016,Married,1990,Yes
111,Pakistan,New Zealand,Higher Education,Permanent,25-34,Female,Bachelor's,2013,Single,2606,No
112,Nepal,Oman,Employment,Work,55+,Male,Master's,2025,Single,2027,Yes
113,India,South Korea,Skilled Worker Visa,Work,25-34,Female,Bachelor's,2000,Divorced,200,Yes
114,Bangladesh,Canada,Family Reunification,Permanent,45-54,Male,Bachelor's,2006,Single,1370,No
115,Pakistan,Malaysia,Employment,Work,25-34,Male,Vocational/Technical,2017,Divorced,1311,Yes
116,Pakistan,United States,Higher Education,Permanent,18-24,Male,Primary,2002,Divorced,639,Yes
117,Pakistan,Saudi Arabia,Employment,Work,45-54,Male,Vocational/Technical,2024,Married,2939,Yes
118,Pakistan,United Kingdom,Employment,Work,25-34,Female,Bachelor's,2006,Single,597,Yes
119,Sri Lanka,Australia,Skilled Worker Visa,Work,25-34,Male,PhD,2005,Single,300,Yes
120,Pakistan,New Zealand,Family Reunification,Permanent,45-54,Male,Secondary,2019,Divorced,8005,Yes
121,Sri Lanka,Italy,Business/Investment,Work,25-34,Male,Bachelor's,2025,Single,698,No
122,India,Italy,Employment,Work,35-44,Male,Primary,2012,Married,550,No
123,Sri Lanka,South Korea,Business/Investment,Work,25-34,Female,Primary,2020,Divorced,3660,No
124,Bangladesh,Canada,Employment,Work,25-34,Female,Bachelor's,2017,Married,3932,Yes
125,Pakistan,United States,Business/Investment,Work,35-44,Male,Bachelor's,2012,Married,3695,Yes
126,India,Italy,Family Reunification,Permanent,25-34,Female,Master's,2021,Single,3654,Yes
127,Sri Lanka,South Korea,Skilled Worker Visa,Work,18-24,Female,Master's,2019,Divorced,779,Yes
128,Pakistan,France,Employment,Work,25-34,Male,Bachelor's,2022,Divorced,401,Yes
129,Bangladesh,South Korea,Marriage/Spouse,Permanent,18-24,Female,Secondary,2025,Married,261,No
130,Sri Lanka,United Kingdom,Economic Hardship,Permanent,45-54,Female,Primary,2020,Single,590,Yes
131,Sri Lanka,Italy,Employment,Work,45-54,Male,Master's,2025,Single,595,Yes
132,Pakistan,Qatar,Economic Hardship,Permanent,18-24,Female,Bachelor's,2008,Married,281,Yes
133,India,Oman,Marriage/Spouse,Permanent,55+,Male,Secondary,2018,Divorced,1430,Yes
134,India,Malaysia,Permanent Residency,Permanent,55+,Female,Secondary,2009,Single,3638,Yes
135,Sri Lanka,France,Employment,Work,35-44,Male,Bachelor's,2024,Married,2831,Yes
136,Sri Lanka,Japan,Economic Hardship,Permanent,35-44,Male,Secondary,2022,Divorced,917,Yes
137,Pakistan,Oman,Economic Hardship,Permanent,25-34,Male,Secondary,2011,Divorced,226,Yes
138,Bangladesh,France,Family Reunification,Permanent,25-34,Male,Secondary,2010,Single,1076,No
139,Sri Lanka,United States,Permanent Residency,Permanent,35-44,Male,Secondary,2012,Divorced,356,Yes
140,Bangladesh,Japan,Marriage/Spouse,Permanent,55+,Male,PhD,2015,Divorced,1088,No
141,Bangladesh,United Kingdom,Higher Education,Permanent,18-24,Male,Bachelor's,2009,Divorced,3264,Yes
142,Nepal,France,Higher Education,Permanent,35-44,Male,Vocational/Technical,2019,Single,606,Yes
143,Sri Lanka,Japan,Employment,Work,45-54,Female,PhD,2009,Single,9148,Yes
144,Nepal,Canada,Business/Investment,Work,25-34,Female,Vocational/Technical,2017,Single,2127,Yes
145,Sri Lanka,France,Better Quality of Life,Permanent,25-34,Male,Secondary,2020,Single,1315,Yes
146,Pakistan,Germany,Family Reunification,Permanent,55+,Male,Vocational/Technical,2022,Married,1052,Yes
147,Bangladesh,Australia,Economic Hardship,Permanent,35-44,Male,Master's,2010,Single,1346,Yes
148,Nepal,Australia,Employment,Work,45-54,Female,Secondary,2010,Single,3815,Yes
149,Bangladesh,Saudi Arabia,Skilled Worker Visa,Work,35-44,Female,Master's,2014,Divorced,292,Yes
150,Bangladesh,Norway,Employment,Work,18-24,Male,Master's,2010,Married,1040,Yes
151,Bangladesh,Saudi Arabia,Employment,Work,25-34,Female,Master's,2022,Married,7523,No
152,Nepal,Germany,Permanent Residency,Permanent,18-24,Male,Bachelor's,2012,Divorced,365,Yes
153,India,Kuwait,Permanent Residency,Permanent,25-34,Male,Secondary,2020,Divorced,1453,Yes
154,Pakistan,Italy,Permanent Residency,Permanent,55+,Female,Bachelor's,2024,Single,1969,No
155,Bangladesh,Germany,Higher Education,Permanent,18-24,Female,Secondary,2014,Married,1360,Yes
156,Pakistan,UAE,Employment,Work,35-44,Male,Master's,2023,Divorced,1267,Yes
157,Pakistan,Germany,Higher Education,Permanent,45-54,Male,Master's,2009,Married,835,Yes
158,Sri Lanka,Italy,Employment,Work,35-44,Female,Vocational/Technical,2012,Married,2587,Yes
159,Nepal,Oman,Family Reunification,Permanent,35-44,Female,Bachelor's,2017,Married,1367,Yes
160,Bangladesh,Japan,Business/Investment,Work,55+,Male,Master's,2011,Divorced,1008,No
161,Pakistan,Japan,Higher Education,Permanent,25-34,Male,Bachelor's,2019,Divorced,261,Yes
162,Nepal,United Kingdom,Higher Education,Permanent,18-24,Female,Secondary,2016,Married,1289,Yes
163,Pakistan,Saudi Arabia,Permanent Residency,Permanent,35-44,Male,Primary,2016,Single,4375,No
164,Nepal,Italy,Higher Education,Permanent,55+,Male,Secondary,2019,Married,341,Yes
165,Sri Lanka,Malaysia,Business/Investment,Work,55+,Male,Secondary,2021,Divorced,398,Yes
166,Pakistan,Australia,Higher Education,Permanent,25-34,Male,Master's,2013,Divorced,1428,Yes
167,Nepal,France,Marriage/Spouse,Permanent,25-34,Male,Bachelor's,2017,Divorced,3149,Yes
168,Sri Lanka,Malaysia,Higher Education,Permanent,25-34,Male,Master's,2014,Married,2282,No
169,Sri Lanka,Norway,Business/Investment,Work,25-34,Male,Bachelor's,2005,Single,1395,Yes
170,Sri Lanka,Oman,Economic Hardship,Permanent,25-34,Male,Secondary,2023,Single,673,No
171,Nepal,UAE,Employment,Work,25-34,Male,Bachelor's,2003,Married,1118,Yes
172,Pakistan,Saudi Arabia,Economic Hardship,Permanent,25-34,Male,Vocational/Technical,2009,Divorced,309,Yes
173,Sri Lanka,Oman,Employment,Work,35-44,Male,Secondary,2023,Single,1188,Yes
174,Sri Lanka,South Korea,Marriage/Spouse,Permanent,35-44,Male,Bachelor's,2005,Married,300,No
175,Bangladesh,Canada,Better Quality of Life,Permanent,45-54,Female,Vocational/Technical,2017,Single,315,No
176,Pakistan,Germany,Employment,Work,45-54,Male,Secondary,2017,Married,305,Yes
177,Bangladesh,United Kingdom,Business/Investment,Work,45-54,Female,Vocational/Technical,2006,Married,1231,No
178,Bangladesh,United Kingdom,Higher Education,Permanent,35-44,Female,Bachelor's,2023,Married,9677,Yes
179,Bangladesh,Canada,Political Instability,Permanent,18-24,Male,Master's,2022,Divorced,3112,No
180,Bangladesh,Kuwait,Economic Hardship,Permanent,35-44,Male,Primary,2016,Single,1329,No
181,Bangladesh,Germany,Higher Education,Permanent,18-24,Male,PhD,2017,Single,209,No
182,Bangladesh,Malaysia,Family Reunification,Permanent,25-34,Female,Secondary,2023,Divorced,4394,Yes
183,Sri Lanka,Italy,Marriage/Spouse,Permanent,35-44,Male,Bachelor's,2010,Divorced,10495,No
184,Nepal,Saudi Arabia,Employment,Work,35-44,Male,Secondary,2016,Married,1494,Yes
185,Bangladesh,Germany,Higher Education,Permanent,25-34,Male,Master's,2024,Married,1494,Yes
186,India,United Kingdom,Permanent Residency,Permanent,25-34,Male,Bachelor's,2020,Divorced,2366,Yes
187,India,Japan,Higher Education,Permanent,35-44,Male,Bachelor's,2013,Single,3771,No
188,Sri Lanka,South Korea,Higher Education,Permanent,35-44,Male,Bachelor's,2025,Single,375,Yes
189,Sri Lanka,Qatar,Employment,Work,18-24,Male,Bachelor's,2008,Married,3224,Yes
190,Sri Lanka,Germany,Family Reunification,Permanent,35-44,Female,Primary,2010,Single,348,Yes
191,India,Australia,Healthcare,Permanent,55+,Male,Secondary,2005,Divorced,3133,Yes
192,India,Japan,Refugee/Asylum,Permanent,55+,Male,Primary,2024,Divorced,377,Yes
193,India,Saudi Arabia,Higher Education,Permanent,18-24,Female,Primary,2025,Married,11704,Yes
194,Pakistan,South Korea,Political Instability,Permanent,55+,Male,Bachelor's,2012,Married,1063,Yes
195,Pakistan,France,Permanent Residency,Permanent,35-44,Female,Secondary,2012,Single,998,No
196,Sri Lanka,UAE,Skilled Worker Visa,Work,25-34,Male,Bachelor's,2012,Married,703,Yes
197,India,Qatar,Skilled Worker Visa,Work,45-54,Male,Bachelor's,2020,Divorced,614,Yes
198,Pakistan,United States,Marriage/Spouse,Permanent,25-34,Female,Primary,2018,Single,1530,Yes
199,Nepal,United States,Employment,Work,25-34,Male,Bachelor's,2001,Divorced,2677,Yes
200,Pakistan,France,Permanent Residency,Permanent,25-34,Male,Master's,2024,Married,762,Yes
201,Sri Lanka,Italy,Higher Education,Permanent,25-34,Male,Master's,2023,Single,1742,Yes
202,India,France,Higher Education,Permanent,25-34,Male,Bachelor's,2024,Divorced,3047,No
203,Pakistan,Japan,Refugee/Asylum,Permanent,18-24,Male,Bachelor's,2012,Single,3945,No
204,Sri Lanka,France,Family Reunification,Permanent,25-34,Male,Bachelor's,2021,Divorced,205,No
205,Bangladesh,Saudi Arabia,Business/Investment,Work,25-34,Male,Vocational/Technical,2014,Married,2384,Yes
206,Bangladesh,Germany,Employment,Work,25-34,Male,Bachelor's,2003,Married,325,Yes
207,Nepal,UAE,Employment,Work,45-54,Male,Bachelor's,2015,Single,571,No
208,Nepal,Norway,Refugee/Asylum,Permanent,25-34,Female,Vocational/Technical,2007,Married,558,Yes
209,Pakistan,France,Business/Investment,Work,25-34,Male,Bachelor's,2012,Divorced,1160,Yes
210,Bangladesh,Saudi Arabia,Better Quality of Life,Permanent,45-54,Male,Primary,2024,Married,416,Yes
211,Pakistan,France,Employment,Work,45-54,Male,Secondary,2019,Married,1911,Yes
212,India,United Kingdom,Higher Education,Permanent,18-24,Female,Secondary,2013,Single,1089,Yes
213,Bangladesh,UAE,Skilled Worker Visa,Work,25-34,Male,Master's,2023,Married,1062,Yes
214,Pakistan,United Kingdom,Employment,Work,18-24,Male,Secondary,2002,Divorced,3263,No
215,Sri Lanka,Norway,Political Instability,Permanent,25-34,Male,Bachelor's,2024,Divorced,2205,Yes
216,India,Qatar,Employment,Work,18-24,Female,Bachelor's,2012,Married,3316,Yes
217,Pakistan,Australia,Better Quality of Life,Permanent,18-24,Male,Bachelor's,2024,Single,1457,Yes
218,Nepal,Kuwait,Family Reunification,Permanent,25-34,Male,PhD,2017,Divorced,691,Yes
219,India,Japan,Employment,Work,35-44,Male,Secondary,2020,Single,3068,No
220,Pakistan,Qatar,Economic Hardship,Permanent,45-54,Male,Vocational/Technical,2022,Single,739,No
221,India,Qatar,Employment,Work,25-34,Female,Primary,2003,Divorced,5518,Yes
222,Pakistan,Oman,Permanent Residency,Permanent,25-34,Male,Bachelor's,2016,Single,3750,No
223,Bangladesh,France,Refugee/Asylum,Permanent,35-44,Female,Vocational/Technical,2015,Divorced,932,Yes
224,India,United States,Employment,Work,18-24,Female,Secondary,2017,Divorced,271,Yes
225,Sri Lanka,France,Marriage/Spouse,Permanent,45-54,Male,Secondary,2023,Divorced,11300,Yes
226,Bangladesh,Germany,Refugee/Asylum,Permanent,55+,Male,Vocational/Technical,2020,Divorced,1720,Yes
227,Pakistan,Kuwait,Business/Investment,Work,55+,Male,Bachelor's,2020,Divorced,1238,Yes
228,Pakistan,Norway,Marriage/Spouse,Permanent,25-34,Male,Secondary,2022,Divorced,265,No
229,Nepal,United Kingdom,Employment,Work,35-44,Female,Secondary,2024,Single,1179,Yes
230,India,UAE,Skilled Worker Visa,Work,25-34,Male,Secondary,2000,Single,359,Yes
231,Bangladesh,Norway,Employment,Work,25-34,Female,Bachelor's,2015,Divorced,589,Yes
232,Nepal,France,Higher Education,Permanent,25-34,Male,Primary,2021,Single,1965,Yes
233,Pakistan,Saudi Arabia,Employment,Work,25-34,Male,Master's,2009,Married,926,Yes
234,Pakistan,Oman,Business/Investment,Work,25-34,Male,Primary,2010,Single,631,Yes
235,Bangladesh,Oman,Business/Investment,Work,35-44,Male,Master's,2020,Married,10299,Yes
236,Bangladesh,South Korea,Political Instability,Permanent,45-54,Female,Master's,2021,Divorced,968,Yes
237,India,Canada,Employment,Work,45-54,Male,Vocational/Technical,2007,Married,448,Yes
238,Nepal,Kuwait,Employment,Work,25-34,Male,Bachelor's,2013,Divorced,951,Yes
239,Nepal,Oman,Employment,Work,18-24,Male,Master's,2017,Married,2613,Yes
240,India,Oman,Employment,Work,25-34,Female,Secondary,2024,Divorced,627,No
241,Nepal,UAE,Employment,Work,25-34,Male,PhD,2012,Single,11822,Yes
242,Sri Lanka,Canada,Employment,Work,18-24,Male,Master's,2020,Single,1071,Yes
243,India,Japan,Employment,Work,25-34,Male,Secondary,2020,Married,1279,Yes
244,Sri Lanka,Germany,Employment,Work,55+,Male,Bachelor's,2023,Divorced,892,No
245,Bangladesh,South Korea,Skilled Worker Visa,Work,45-54,Male,Secondary,2015,Divorced,2366,Yes
246,Nepal,South Korea,Employment,Work,18-24,Female,Bachelor's,2020,Single,869,Yes
247,Bangladesh,Norway,Higher Education,Permanent,25-34,Male,Master's,2022,Divorced,6725,Yes
248,Nepal,New Zealand,Employment,Work,35-44,Female,Secondary,2015,Single,2895,Yes
249,Pakistan,Canada,Marriage/Spouse,Permanent,55+,Male,Secondary,2024,Single,876,Yes
250,India,Italy,Family Reunification,Permanent,55+,Female,Master's,2015,Single,932,No
251,Nepal,Japan,Employment,Work,25-34,Male,Master's,2015,Married,1430,Yes
252,Sri Lanka,Germany,Permanent Residency,Permanent,45-54,Female,Vocational/Technical,2024,Single,9968,Yes
253,India,South Korea,Family Reunification,Permanent,25-34,Female,Master's,2021,Divorced,224,Yes
254,Bangladesh,Japan,Family Reunification,Permanent,25-34,Male,Master's,2007,Divorced,482,Yes
255,Bangladesh,United Kingdom,Employment,Work,55+,Female,Primary,2013,Single,1182,No
256,Bangladesh,Canada,Employment,Work,35-44,Female,Vocational/Technical,2006,Divorced,917,Yes
257,Bangladesh,New Zealand,Family Reunification,Permanent,45-54,Male,Vocational/Technical,2015,Married,432,Yes
258,Bangladesh,Malaysia,Skilled Worker Visa,Work,35-44,Male,Secondary,2011,Single,278,Yes
259,Pakistan,Norway,Higher Education,Permanent,25-34,Female,Secondary,2018,Single,204,Yes
260,Sri Lanka,Saudi Arabia,Employment,Work,25-34,Male,Master's,2014,Divorced,518,Yes
261,Bangladesh,UAE,Employment,Work,18-24,Male,Master's,2024,Divorced,690,No
262,Nepal,Japan,Permanent Residency,Permanent,25-34,Male,Vocational/Technical,2012,Divorced,687,Yes
263,Pakistan,Malaysia,Higher Education,Permanent,45-54,Male,PhD,2024,Divorced,1289,Yes
264,Bangladesh,New Zealand,Employment,Work,35-44,Male,Bachelor's,2018,Single,1015,Yes
265,Nepal,South Korea,Employment,Work,35-44,Male,PhD,2023,Married,462,No
266,Pakistan,Malaysia,Family Reunification,Permanent,25-34,Female,Bachelor's,2025,Divorced,2370,Yes
267,Sri Lanka,New Zealand,Marriage/Spouse,Permanent,35-44,Male,Secondary,2024,Single,685,No
268,Bangladesh,Kuwait,Employment,Work,55+,Male,Master's,2017,Divorced,1440,Yes
269,Sri Lanka,Oman,Family Reunification,Permanent,25-34,Male,Vocational/Technical,2013,Single,473,Yes
270,India,Canada,Employment,Work,25-34,Male,Primary,2023,Divorced,2957,Yes
271,Sri Lanka,United States,Skilled Worker Visa,Work,35-44,Male,Secondary,2019,Divorced,9003,Yes
272,India,Qatar,Employment,Work,25-34,Male,Primary,2016,Divorced,8412,Yes
273,India,United Kingdom,Permanent Residency,Permanent,25-34,Male,Master's,2019,Married,289,Yes
274,Bangladesh,Oman,Employment,Work,25-34,Male,Secondary,2008,Divorced,450,Yes
275,Sri Lanka,Australia,Higher Education,Permanent,18-24,Male,Master's,2025,Married,3611,Yes
276,Nepal,Saudi Arabia,Economic Hardship,Permanent,35-44,Male,Secondary,2009,Divorced,5534,Yes
277,Sri Lanka,Italy,Higher Education,Permanent,25-34,Female,Secondary,2008,Single,248,No
278,Bangladesh,United States,Higher Education,Permanent,25-34,Male,Primary,2012,Married,2290,No
279,Nepal,Canada,Permanent Residency,Permanent,25-34,Male,Vocational/Technical,2024,Married,443,Yes
280,India,New Zealand,Employment,Work,35-44,Male,Bachelor's,2004,Divorced,618,Yes
281,India,Kuwait,Skilled Worker Visa,Work,25-34,Male,Primary,2018,Married,548,Yes
282,Bangladesh,Oman,Family Reunification,Permanent,25-34,Male,Bachelor's,2002,Married,2779,No
